,Role_Director,Character_Facet_Cont_SelfConsciousness,Temperament_Energetic,Character_Facet_Cont_Adventurousness
0,0.679338782,0.471481542,0.125,0.544957385
1,0.38143157,0.352964445,0.0,0.6041125070000001
2,0.305979479,0.750039033,0.0,0.6577725170000001
3,0.483526116,0.562344449,0.5,0.7856181179999999
4,0.359326155,0.4495704179999999,0.125,0.34631835
5,0.560175608,0.462221311,0.375,0.665912861
6,0.6774307390000001,0.445397865,0.25,0.706427275
7,0.4540411,0.558158006,0.5,0.600684924
8,0.421991145,0.4378271479999999,0.0,0.505844622
9,0.660348157,0.536922865,0.125,0.618865123
10,0.61352839,0.42231349,0.125,0.597592631
11,0.5459361770000001,0.528305386,0.0,0.6426414229999999
12,0.553544905,0.53088504,0.5,0.663014754
13,0.535033246,0.627753875,0.5,0.58213636
14,0.57204465,0.511755698,0.25,0.60234685
15,0.451725666,0.593069914,0.75,0.613812209
16,0.388542435,0.483539262,0.375,0.6291399879999999
17,0.558673547,0.583110036,0.375,0.631601053
18,0.485073177,0.290695381,0.125,0.4974579779999999
19,0.357403587,0.3878123129999999,0.0,0.595769538
20,0.586768718,0.5129998579999999,0.125,0.530447942
21,0.446092862,0.582402072,0.625,0.737231567
22,0.42708386,0.496378136,0.375,0.661871997
23,0.526194123,0.523409288,0.25,0.6904917490000001
24,0.420477466,0.288388182,0.125,0.51221912
25,0.459762572,0.69352482,0.625,0.6985229940000001
26,0.3929915229999999,0.571886663,0.125,0.623924598
27,0.5594586770000001,0.569066609,0.5,0.53686732
28,0.477304905,0.481373675,1.0,0.683504497
29,0.54734209,0.407758085,0.75,0.7086854890000001
30,0.484728332,0.496765435,0.375,0.5887929510000001
31,0.450595682,0.5421245729999999,0.5,0.677394353
32,0.534560203,0.4819626629999999,0.375,0.6599661520000001
33,0.660348157,0.536922865,0.125,0.618865123
34,0.542660385,0.41386031,0.75,0.4991269129999999
35,0.493658332,0.296350665,0.5,0.469091831
36,0.530472319,0.549028784,0.125,0.585788072
37,0.524997445,0.417661966,0.125,0.4963810729999999
38,0.433130561,0.532952891,0.625,0.890824266
39,0.439351536,0.488357912,0.125,0.6301894229999999
40,0.329396661,0.499507704,0.125,0.4607309779999999
41,0.513778701,0.2954069569999999,0.125,0.514437548
42,0.5013161660000001,0.4852718,0.625,0.7245468740000001
43,0.516620848,0.506684454,0.75,0.6449568689999999
44,0.589775316,0.403049779,0.375,0.581846211
45,0.39861602,0.379147434,0.0,0.455478644
46,0.475113445,0.611223935,0.125,0.54736688
47,0.507437725,0.529000461,0.5,0.658291776
48,0.548152714,0.346139601,0.5,0.484053384
49,0.396993679,0.572275164,0.5,0.790374728
50,0.537425673,0.571327823,0.5,0.566122544
51,0.496272249,0.50175525,1.0,0.7455895709999999
52,0.544501718,0.448329196,0.125,0.592978659
53,0.477461631,0.212455597,0.5,0.521380277
54,0.689425175,0.558898778,0.5,0.2973237689999999
55,0.407240537,0.451808064,0.125,0.552914094
56,0.738080328,0.4663843789999999,0.25,0.532649944
57,0.68977612,0.307931709,0.125,0.4812709579999999
58,0.577441931,0.320201909,0.5,0.7181536070000001
59,0.454020336,0.602458542,0.5,0.574774158
60,0.344221513,0.301862835,0.125,0.3534
61,0.479162247,0.349976113,0.125,0.5638099010000001
62,0.533427368,0.633762712,0.5,0.548037624
63,0.613719452,0.397804502,0.125,0.526212628
64,0.576226279,0.480030596,0.5,0.661074433
65,0.437009826,0.616434542,0.625,0.690020953
66,0.484194278,0.300677558,0.125,0.530016965
67,0.538426242,0.522946526,0.375,0.6735928440000001
68,0.561667599,0.426494675,0.75,0.605355679
69,0.534068265,0.493178519,0.375,0.673692636
70,0.6290129210000001,0.529040683,0.625,0.656044208
71,0.391476783,0.497483381,0.5,0.8187556359999999
72,0.522078768,0.361993998,0.5,0.489507119
73,0.388240109,0.603316296,0.5,0.737412799
74,0.388240109,0.603316296,0.5,0.737412799
75,0.573128133,0.4388189779999999,0.25,0.62794478
76,0.463637266,0.5227238270000001,0.375,0.6287089260000001
77,0.463951369,0.541308055,1.0,0.593489539
78,0.6916350370000001,0.485127836,0.75,0.563121752
79,0.613309853,0.357885813,0.0,0.496012791
80,0.465693653,0.675197302,0.625,0.6296747460000001
81,0.717680329,0.351096508,0.125,0.5290830129999999
82,0.553868351,0.298217823,0.0,0.49615626
83,0.571569167,0.461110144,0.125,0.6335064020000001
84,0.56442724,0.4242740829999999,0.125,0.567659722
85,0.540134001,0.4652071279999999,0.375,0.618759187
86,0.433828868,0.481165588,0.625,0.669505251
87,0.403923971,0.425020849,0.75,0.621335006
88,0.604420135,0.43665735,0.625,0.607751543
89,0.559891283,0.514656503,0.75,0.670389193
90,0.418305502,0.209102166,0.5,0.555937995
91,0.450023167,0.486183831,1.0,0.703465867
92,0.52746619,0.354153528,0.125,0.541779805
93,0.485444594,0.459175256,0.25,0.645676204
94,0.546610502,0.447277781,0.125,0.535198194
95,0.604343462,0.457428616,0.125,0.5275336039999999
96,0.418749104,0.4959409279999999,0.25,0.7184382220000001
97,0.389897704,0.472876423,0.375,0.614398136
98,0.3879186089999999,0.338124099,0.125,0.614526056
99,0.461083381,0.546181794,0.5,0.638515157
100,0.6003287070000001,0.421184548,1.0,0.6232345020000001
