,Role_Curator,Personal_Values_Cont_Conservation,Self_Esteem_Cont_SELevelIntelligence,Temperament_Centric
0,0.524306285,0.29905185,0.803920188,0.625
1,0.10020175,0.304526932,0.751291395,0.125
2,0.070987509,0.305975316,0.759899943,0.0
3,0.214651621,0.298591882,0.734010281,0.0
4,0.324363829,0.298715822,0.8145296120000001,0.125
5,0.270685577,0.302364771,0.80726248,0.25
6,0.411287719,0.30125476,0.81912689,0.125
7,0.205067892,0.305078363,0.78854958,0.0
8,0.188947073,0.294041392,0.745226552,0.0
9,0.4180171379999999,0.291647835,0.74286248,0.25
10,0.37445884,0.298071452,0.840128199,0.625
11,0.231887391,0.3036224839999999,0.77286359,0.5
12,0.262844456,0.301322359,0.810709978,0.0
13,0.396526709,0.30508251,0.696995129,0.625
14,0.291605881,0.30278862,0.817304609,0.125
15,0.241680008,0.305099674,0.74074567,0.625
16,0.119081391,0.296103541,0.805849429,0.25
17,0.24641774,0.301683356,0.76550844,0.25
18,0.191404314,0.3005714339999999,0.847728389,0.25
19,0.086923703,0.302357321,0.80602481,0.5
20,0.30616176,0.299641384,0.753223493,0.25
21,0.2484348039999999,0.304796286,0.794730605,0.125
22,0.112920084,0.30190348,0.678639276,0.25
23,0.280622451,0.296077926,0.7541620640000001,0.125
24,0.1154088619999999,0.303991518,0.845366527,0.25
25,0.220457932,0.3066701189999999,0.7883320159999999,0.125
26,0.077072426,0.278719575,0.747198143,0.125
27,0.4474550089999999,0.312815045,0.761514838,0.625
28,0.178198353,0.302245765,0.8323425959999999,0.5
29,0.279873971,0.30267036,0.850028585,0.625
30,0.2226714339999999,0.308935806,0.7872757909999999,0.25
31,0.235462821,0.302183424,0.806342923,0.0
32,0.232308428,0.2997930239999999,0.758289185,0.25
33,0.4180171379999999,0.291647835,0.74286248,0.25
34,0.1859167219999999,0.299224475,0.8164178320000001,0.625
35,0.233995813,0.305415105,0.812904631,0.625
36,0.397294167,0.290463962,0.8188188829999999,0.125
37,0.194518143,0.306486763,0.822730617,0.625
38,0.150299434,0.299774357,0.592983561,0.125
39,0.125529007,0.286605014,0.80899458,0.25
40,0.0436852009999999,0.313660929,0.7647884779999999,0.125
41,0.248440827,0.299309063,0.8323543590000001,0.625
42,0.175521332,0.302372805,0.8214881359999999,0.125
43,0.229020387,0.302039619,0.7938788659999999,0.625
44,0.291315226,0.304379438,0.737557375,0.25
45,0.13980106,0.309710097,0.8594911159999999,0.5
46,0.203093581,0.311462345,0.72453652,0.125
47,0.244625473,0.3236356489999999,0.781052365,0.5
48,0.255114193,0.302772581,0.8045243120000001,0.625
49,0.13834609,0.30594811,0.736672935,0.0
50,0.345796819,0.270706516,0.783762706,0.625
51,0.179343114,0.303481414,0.7953066520000001,0.5
52,0.3119343189999999,0.2855734339999999,0.741015113,0.125
53,0.227475436,0.307317007,0.7957320640000001,0.625
