,Role_Designer
0,0.533952247
1,0.488030168
2,0.715200435
3,0.353330782
4,0.439375696
5,0.51131402
6,0.5045804970000001
7,0.297644432
8,0.527028297
9,0.620921439
10,0.645272022
11,0.558924333
12,0.352626245
13,0.6674075979999999
14,0.406148591
15,0.419489469
16,0.657347495
17,0.4695392339999999
18,0.60956234
19,0.717291965
20,0.7280132340000001
21,0.25747522
22,0.498169724
23,0.377599294
24,0.599074398
25,0.281147685
26,0.701895143
27,0.628403907
28,0.474290036
29,0.63880284
30,0.5343687220000001
31,0.274299095
32,0.496696361
33,0.620921439
34,0.6086133570000001
35,0.747084823
36,0.4917571289999999
37,0.745575462
38,0.3093099
39,0.611862361
40,0.5515641020000001
41,0.738895093
42,0.468323638
43,0.585392123
44,0.602028383
45,0.7280967429999999
46,0.73358469
47,0.572554419
48,0.78945594
49,0.221151175
50,0.709875057
51,0.4508488579999999
52,0.7083380890000001
53,0.761329468
54,0.667050501
55,0.566448745
56,0.420509779
57,0.570971778
58,0.404960292
59,0.626538033
60,0.680060982
61,0.554457038
62,0.786608017
63,0.7196030729999999
64,0.312977207
65,0.341807929
66,0.797469568
67,0.588239976
68,0.6478463489999999
69,0.465947791
70,0.364406621
71,0.266296906
72,0.701411045
73,0.157746108
74,0.157746108
75,0.416162001
76,0.494718289
77,0.579446728
78,0.618287884
79,0.434408852
80,0.349213148
81,0.641702404
82,0.518905683
83,0.6485175120000001
84,0.609152313
85,0.528499243
86,0.579699501
87,0.560830037
88,0.402732222
89,0.618042874
90,0.682692027
91,0.371145459
92,0.68850625
93,0.375177821
94,0.666990958
95,0.701500638
96,0.371039732
97,0.567841842
98,0.7947555409999999
99,0.335509952
100,0.556536551
101,0.530463681
102,0.497099336
103,0.7753194729999999
104,0.462804344
105,0.539343772
106,0.588427105
107,0.503797835
108,0.7606338159999999
109,0.6674610470000001
110,0.633553589
111,0.507763113
112,0.555646169
113,0.353932753
114,0.531773598
115,0.583338791
116,0.373486901
117,0.701425704
118,0.677491113
119,0.731638872
120,0.566051879
121,0.734157811
122,0.380331842
123,0.5118567829999999
124,0.654407702
125,0.603353991
126,0.646844496
127,0.434593561
128,0.258937507
129,0.590030849
130,0.711782727
131,0.630971763
132,0.497859182
133,0.605212428
134,0.4716539429999999
135,0.7037720279999999
136,0.6792803409999999
137,0.657669708
138,0.739782684
139,0.254892013
140,0.588267381
141,0.776399873
142,0.635750328
143,0.322953885
144,0.735814637
145,0.509333839
146,0.6066781920000001
147,0.426126468
148,0.54987887
149,0.519838885
150,0.6248993270000001
151,0.416648979
152,0.657145034
153,0.450146338
154,0.620921439
155,0.348835737
156,0.483006159
157,0.513270105
158,0.434875595
159,0.592134057
160,0.33581592
161,0.390514199
162,0.3673690029999999
163,0.66171627
164,0.813925716
165,0.342942206
166,0.60715192
167,0.459542861
168,0.595557149
169,0.505913473
170,0.605204082
171,0.918097799
172,0.29716406
173,0.423268101
174,0.596910603
175,0.76152045
176,0.7069945209999999
177,0.616598969
178,0.335115265
179,0.725366582
180,0.258639644
181,0.42491565
182,0.4301328579999999
183,0.580203377
184,0.619455794
185,0.671345475
186,0.682429222
187,0.392051641
188,0.516216264
189,0.427316141
190,0.366620026
191,0.549315098
192,0.488902952
193,0.433497325
194,0.5787197239999999
195,0.625131397
196,0.493368991
197,0.330033745
198,0.73276844
199,0.594777794
200,0.737969632
201,0.710009235
202,0.632681995
203,0.4767387389999999
204,0.602510752
205,0.620921439
206,0.539739059
207,0.441205707
208,0.412817654
209,0.816021709
210,0.2372431639999999
211,0.7080846209999999
212,0.712533388
213,0.333664246
214,0.4551068579999999
215,0.7383821970000001
216,0.659146391
217,0.413323137
218,0.6508211220000001
219,0.685435658
220,0.666779615
221,0.7211300420000001
222,0.658617801
223,0.620921439
224,0.6293729929999999
225,0.473402822
226,0.673193253
227,0.7078476659999999
228,0.7326008340000001
229,0.782939498
230,0.336847122
