,Role_Guardian
0,0.5601905420000001
1,0.280924689
2,0.644016532
3,0.253580553
4,0.523224557
5,0.398125737
6,0.4715606429999999
7,0.234814686
8,0.531878076
9,0.7720324140000001
10,0.5227794920000001
11,0.425426421
12,0.323587878
13,0.620326434
14,0.353709239
15,0.368471913
16,0.422514729
17,0.452134938
18,0.498881763
19,0.543798689
20,0.624702351
21,0.215376817
22,0.334204024
23,0.315289601
24,0.463188422
25,0.295722557
26,0.508475101
27,0.650268266
28,0.373136209
29,0.4701338779999999
30,0.3845858129999999
31,0.213276661
32,0.386400621
33,0.7720324140000001
34,0.531610248
35,0.551284853
36,0.696087845
37,0.614057295
38,0.256061235
39,0.440061893
40,0.47395301
41,0.600372927
42,0.376917364
43,0.4642341789999999
44,0.473069092
45,0.611732246
46,0.723625588
47,0.6899830859999999
48,0.69801022
49,0.179180786
50,0.639080255
51,0.388838745
52,0.670453106
53,0.549608347
54,0.7187121890000001
55,0.558395396
56,0.50536925
57,0.6381031070000001
58,0.326916832
59,0.574476388
60,0.579783803
61,0.482430747
62,0.582323151
63,0.651957211
64,0.279572195
65,0.27925046
66,0.598544335
67,0.409905774
68,0.508453865
69,0.366574441
70,0.380344165
71,0.167178445
72,0.564596094
73,0.125644795
74,0.125644795
75,0.370429324
76,0.36900602
77,0.393490953
78,0.616084752
79,0.414008636
80,0.279333872
81,0.657431177
82,0.4888980639999999
83,0.627659063
84,0.452921735
85,0.401352228
86,0.41106632
87,0.364374996
88,0.363553074
89,0.500025514
90,0.539000468
91,0.301778991
92,0.497069461
93,0.312361022
94,0.509424336
95,0.584433333
96,0.233389139
97,0.403625296
98,0.4974071579999999
99,0.2464910289999999
100,0.465512636
101,0.457928213
102,0.642521328
103,0.592802018
104,0.362591149
105,0.432108566
106,0.48612361
107,0.3762324429999999
108,0.557584932
109,0.6977935959999999
110,0.523040339
111,0.409665404
112,0.461403081
113,0.303894305
114,0.410740126
115,0.439876161
116,0.333720591
117,0.624481681
118,0.7411966240000001
119,0.507456087
120,0.704834363
121,0.6440198779999999
122,0.656440538
123,0.466211576
124,0.5046476360000001
125,0.5529436670000001
126,0.307453581
127,0.37205638
128,0.257564658
129,0.522211552
130,0.677995893
131,0.560514821
132,0.3770164039999999
133,0.501005816
134,0.460199151
135,0.774440017
136,0.731718454
137,0.5317606579999999
138,0.74875594
139,0.228956425
140,0.622564468
141,0.584756455
142,0.4769086829999999
143,0.261031075
144,0.561513764
145,0.407871941
146,0.64362828
147,0.346409572
148,0.50513965
149,0.415938147
150,0.602338375
151,0.416004319
152,0.501110963
153,0.381861569
154,0.7720324140000001
155,0.287900896
156,0.415166795
157,0.482399869
158,0.366301746
159,0.528474728
160,0.253500897
161,0.33875873
162,0.357276535
163,0.4238350429999999
164,0.540463066
165,0.309661632
166,0.574724242
167,0.394382864
168,0.418600598
169,0.372751225
170,0.7394738120000001
171,0.606032156
172,0.23786257
173,0.314866392
174,0.4225834739999999
175,0.637706937
176,0.552258171
177,0.559913271
178,0.279619606
179,0.6079874439999999
180,0.238284348
181,0.365656045
182,0.464015348
183,0.503906719
184,0.406136656
185,0.753204311
186,0.693271675
187,0.291383458
188,0.681846517
189,0.8473248320000001
190,0.284792253
191,0.615959149
192,0.408511909
193,0.370587004
194,0.503299677
195,0.387047159
196,0.465095845
197,0.265356577
198,0.638839795
199,0.487276387
200,0.6079610910000001
201,0.553631034
202,0.5723166789999999
203,0.423546067
204,0.5098002
205,0.7720324140000001
206,0.7236702159999999
207,0.426189352
208,0.37123326
209,0.6857978840000001
210,0.166922219
211,0.5770296770000001
212,0.55361619
213,0.4456570079999999
214,0.490394367
215,0.580451632
216,0.5328585579999999
217,0.611518546
218,0.502399041
219,0.474459549
220,0.5280277170000001
221,0.531118085
222,0.602342124
223,0.7720324140000001
224,0.51836297
225,0.354423069
226,0.50236341
227,0.709451281
228,0.7688549020000001
229,0.607533705
230,0.330941146
231,0.544253405
232,0.631795449
233,0.478321867
234,0.7720324140000001
235,0.314723328
236,0.7720324140000001
237,0.7720324140000001
238,0.451011997
239,0.563437027
240,0.4637367979999999
241,0.542291548
242,0.677521438
243,0.725130488
244,0.70821282
245,0.560205675
246,0.417313432
247,0.7720324140000001
248,0.7720324140000001
249,0.237375552
250,0.364259012
251,0.739568412
252,0.71730728
253,0.5622063110000001
254,0.437785125
255,0.7380153779999999
256,0.7720324140000001
257,0.375135591
258,0.624174773
259,0.250112028
260,0.66394222
261,0.349357951
262,0.592825242
263,0.7720324140000001
264,0.569566906
265,0.39944277
266,0.683882306
267,0.387831525
268,0.677895778
269,0.500243212
270,0.2263005639999999
271,0.228515937
272,0.500243212
273,0.460172781
274,0.5175933770000001
275,0.6935381409999999
276,0.479164647
277,0.529437914
278,0.461333505
279,0.474571722
280,0.422645126
281,0.583666838
282,0.500243212
283,0.4529177889999999
284,0.403929356
285,0.526190174
286,0.7056291570000001
287,0.4676968179999999
288,0.490678949
289,0.7045730590000001
290,0.6740443970000001
291,0.282868362
292,0.4234425779999999
293,0.427072696
294,0.7720324140000001
295,0.500243212
296,0.500243212
297,0.6880736540000001
298,0.427959826
299,0.532646441
300,0.503258178
301,0.285380385
302,0.389605937
303,0.431767812
304,0.328707501
305,0.650425531
306,0.345053599
307,0.458119782
308,0.610749012
309,0.512863937
310,0.467890097
311,0.597446581
312,0.6409384929999999
313,0.416524551
314,0.5044191720000001
315,0.611129102
316,0.616784208
317,0.380712952
318,0.310449981
319,0.550206718
320,0.41624978
321,0.276525305
322,0.469205647
323,0.251977535
324,0.416903402
325,0.509536509
326,0.655363465
327,0.578864478
328,0.270946046
329,0.500243212
330,0.480384647
331,0.524287363
332,0.244376693
333,0.558964158
334,0.398498546
335,0.666954385
336,0.529261832
337,0.7720324140000001
338,0.57596295
339,0.552281118
340,0.697156749
341,0.367114723
342,0.53367697
343,0.7720324140000001
344,0.7056291570000001
345,0.700579693
346,0.425333705
347,0.572658174
348,0.4989285479999999
349,0.585797717
350,0.4600729979999999
351,0.488945522
352,0.5578786720000001
353,0.464629687
354,0.7056291570000001
355,0.543481008
356,0.5858915379999999
357,0.576825814
358,0.560207474
359,0.476652322
360,0.808108832
361,0.504234172
362,0.488686355
363,0.314743573
364,0.6892247290000001
365,0.330369355
366,0.585007178
367,0.597518115
368,0.683715463
369,0.550033577
370,0.7720324140000001
371,0.352740006
372,0.637144361
373,0.56162395
374,0.4240683189999999
375,0.592135246
