,Role_Innovator
0,0.695562925
1,0.67591776
2,0.348777655
3,0.6845664029999999
4,0.317387446
5,0.790635883
6,0.7997146340000001
7,0.578747161
8,0.4348461839999999
9,0.57259434
10,0.8647174940000001
11,0.7818622690000001
12,0.633398487
13,0.609383224
14,0.6993755690000001
15,0.540081715
16,0.628518913
17,0.606933308
18,0.6164557970000001
19,0.479820391
20,0.7151408659999999
21,0.5417135129999999
22,0.6577268589999999
23,0.663105238
24,0.56133349
25,0.464671751
26,0.549488945
27,0.5774892
28,0.632630351
29,0.830781786
30,0.720693227
31,0.578340567
32,0.736773456
33,0.57259434
34,0.643596013
35,0.688858486
36,0.399922658
37,0.6459037470000001
38,0.529390656
39,0.633703569
40,0.398013292
41,0.6482928410000001
42,0.649618096
43,0.69011971
44,0.84546653
45,0.481063425
46,0.495674205
47,0.441409897
48,0.6275861389999999
49,0.480035277
50,0.623981491
51,0.597864494
52,0.598923196
53,0.676273791
54,0.674701346
55,0.427182191
56,0.648887894
57,0.659609359
58,0.776557752
59,0.519924927
60,0.421812805
61,0.59056875
62,0.745408649
63,0.709944178
64,0.683863208
65,0.546709907
66,0.640936453
67,0.918055019
68,0.770926839
69,0.724135187
70,0.643366898
71,0.565986595
72,0.6633382879999999
73,0.462613267
74,0.462613267
75,0.697720983
76,0.648027465
77,0.744548963
78,0.7447061709999999
79,0.703314751
80,0.594015587
81,0.7459254120000001
82,0.6311881429999999
83,0.61638626
84,0.867325883
85,0.7751397870000001
86,0.642126677
87,0.6465284170000001
88,0.71821113
89,0.735385979
90,0.541662651
91,0.570225945
92,0.7876506879999999
93,0.600430454
94,0.78732168
95,0.782609621
96,0.651370572
97,0.567247287
98,0.611959939
99,0.635282029
100,0.79841689
101,0.74569341
102,0.477696138
103,0.681622345
104,0.826124865
105,0.7721474429999999
106,0.491466774
107,0.673844436
108,0.7722799459999999
109,0.61512179
110,0.7540156240000001
111,0.699213202
112,0.547728842
113,0.529628379
114,0.694123637
115,0.7505046590000001
116,0.647327585
117,0.783247792
118,0.51458693
119,0.599827861
120,0.434780887
121,0.550058545
122,0.350362109
123,0.574363515
124,0.797045165
125,0.8283331829999999
126,0.556607238
127,0.681321018
128,0.4981321489999999
129,0.8235825090000001
130,0.730181735
131,0.7392011190000001
132,0.8515557290000001
133,0.623691919
134,0.621069826
135,0.534217689
136,0.498812287
137,0.778856271
138,0.585868151
139,0.4915844629999999
140,0.665701945
141,0.6674613939999999
142,0.7657619459999999
143,0.697856464
144,0.325152071
145,0.823540123
146,0.3931189539999999
147,0.597930455
148,0.598471129
149,0.70382705
150,0.801992532
151,0.769113278
152,0.755356514
153,0.685087332
154,0.57259434
155,0.5218774939999999
156,0.774214472
157,0.7142556179999999
158,0.7337242009999999
159,0.72417732
160,0.521933073
161,0.666363386
162,0.542554971
163,0.460394898
164,0.71166234
165,0.591601688
166,0.644280455
167,0.698536934
168,0.5229040429999999
169,0.668366613
170,0.460614055
171,0.588988485
172,0.596212387
173,0.795225101
174,0.7070480859999999
175,0.742551484
176,0.707206689
177,0.7542310809999999
178,0.5148901029999999
179,0.551470598
180,0.472353849
181,0.65303934
182,0.51330707
183,0.8408013959999999
184,0.755512307
185,0.518162519
186,0.515512939
187,0.653056276
188,0.389401237
189,0.293878871
190,0.614030571
191,0.559170295
192,0.6659536229999999
193,0.749879808
194,0.703597425
195,0.36992777
196,0.621907877
197,0.652549474
198,0.5176433420000001
199,0.461818916
200,0.5257634729999999
201,0.435845016
202,0.815065823
203,0.762442477
204,0.687541202
205,0.57259434
206,0.488177946
207,0.629537859
208,0.67924477
209,0.5628357820000001
210,0.5718662179999999
211,0.801862608
212,0.789187802
213,0.2262186289999999
214,0.396757126
215,0.7560769909999999
216,0.751925858
217,0.355535376
218,0.551958428
219,0.605804931
220,0.812431377
221,0.7814887070000001
222,0.544617993
223,0.57259434
224,0.852301008
225,0.6960535790000001
226,0.752885019
227,0.658027554
228,0.539439154
229,0.69770486
230,0.702203345
231,0.3061411069999999
232,0.582493899
233,0.7622818440000001
234,0.57259434
235,0.385564717
236,0.57259434
237,0.57259434
238,0.872141343
239,0.4038052789999999
240,0.659224592
241,0.456377722
242,0.4970262179999999
243,0.537364219
244,0.4395076229999999
245,0.462434676
246,0.659619277
247,0.57259434
248,0.57259434
249,0.404860502
250,0.494807382
251,0.447376074
252,0.397228742
253,0.56819722
254,0.422494092
255,0.308735362
256,0.57259434
257,0.5071448120000001
258,0.535092349
259,0.71989753
260,0.5396177879999999
261,0.5412295229999999
262,0.697744385
263,0.57259434
264,0.317247081
265,0.464193732
266,0.544954755
267,0.74382772
268,0.688911433
269,0.770305626
270,0.57534821
271,0.443410721
272,0.770305626
273,0.673411346
274,0.631291633
275,0.6964607270000001
276,0.615373737
277,0.404969749
278,0.773957544
279,0.720659915
280,0.633723597
281,0.70132382
282,0.770305626
283,0.691550144
284,0.671576321
285,0.7438960029999999
286,0.478340528
287,0.861907203
288,0.577962773
289,0.426430594
290,0.706505003
291,0.584583094
292,0.829457252
293,0.6991866959999999
294,0.57259434
295,0.770305626
296,0.770305626
