,Role_RightsDefender
0,0.717801525
1,0.464579635
2,0.300320781
3,0.474215774
4,0.415213595
5,0.568050067
6,0.644760505
7,0.4097513229999999
8,0.364112512
9,0.533438607
10,0.731413918
11,0.539752811
12,0.439827915
13,0.6649270039999999
14,0.508225528
15,0.452675201
16,0.483543248
17,0.431578426
18,0.4628431329999999
19,0.377238321
20,0.592762866
21,0.4221976529999999
22,0.428417127
23,0.504072293
24,0.395946354
25,0.33584273
26,0.382934791
27,0.6563265389999999
28,0.43924098
29,0.642219517
30,0.549673814
31,0.436311626
32,0.514909489
33,0.533438607
34,0.42859501
35,0.5753299789999999
36,0.4243985329999999
37,0.470878147
38,0.343280208
39,0.438664006
40,0.274141183
41,0.5446855429999999
42,0.425797494
43,0.520454315
44,0.612345966
45,0.399136279
46,0.412580372
47,0.364003655
48,0.5134388329999999
49,0.304838851
50,0.618732663
51,0.3995814589999999
52,0.549559815
53,0.577196234
54,0.556885168
55,0.3405780539999999
56,0.66121224
57,0.7198736490000001
58,0.55575768
59,0.527190237
60,0.433087721
61,0.673212625
62,0.640048786
63,0.586772069
64,0.513485117
65,0.386401827
66,0.4921733579999999
67,0.661292635
68,0.563561574
69,0.507190099
70,0.507825855
71,0.3630987979999999
72,0.445595158
73,0.304694128
74,0.304694128
75,0.644322485
76,0.443306119
77,0.68627842
78,0.66460032
79,0.7278283720000001
80,0.401627213
81,0.636718617
82,0.652424319
83,0.508959191
84,0.626704543
85,0.551545341
86,0.495954758
87,0.4456465529999999
88,0.527534598
89,0.505249545
90,0.421220956
91,0.416648366
92,0.585296901
93,0.392831109
94,0.7571293170000001
95,0.659613523
96,0.419367807
97,0.385672213
98,0.431804696
99,0.487688962
100,0.67555925
101,0.593424901
102,0.59101826
103,0.494852405
104,0.623155085
105,0.534546587
106,0.325952437
107,0.462757705
108,0.619161146
109,0.617777836
110,0.560734501
111,0.5055639820000001
112,0.554470009
113,0.46666086
114,0.467956914
115,0.515561474
116,0.585209844
117,0.659925086
118,0.494053444
119,0.473435067
120,0.417701417
121,0.401761154
122,0.37381652
123,0.386292815
124,0.5664397210000001
125,0.6163439270000001
126,0.400286036
127,0.60527367
128,0.321566154
129,0.610587704
130,0.634521395
131,0.7854061920000001
132,0.679140775
133,0.415418829
134,0.571531548
135,0.502102564
136,0.465397026
137,0.588990217
138,0.517457764
139,0.368925231
140,0.603288891
141,0.54655846
142,0.557565595
143,0.54085828
144,0.255236673
145,0.642746072
146,0.388177896
147,0.433820726
148,0.7121781009999999
149,0.527917464
150,0.663474649
151,0.634428671
152,0.558775696
153,0.4984873179999999
154,0.533438607
155,0.339618779
156,0.552180315
157,0.6387770420000001
158,0.641056735
159,0.550283435
160,0.338021714
161,0.467399164
162,0.35692873
163,0.436076068
164,0.5418169820000001
165,0.4570280889999999
166,0.688939118
167,0.7731750829999999
168,0.563494914
169,0.464161825
170,0.471558979
171,0.490149944
172,0.491407187
173,0.6031984579999999
174,0.459637743
175,0.611571312
176,0.668056906
177,0.74972069
178,0.3967506779999999
179,0.5095087070000001
180,0.340332529
181,0.4547690679999999
182,0.422654475
183,0.674275429
184,0.5280927089999999
185,0.4987675479999999
186,0.433115647
187,0.45512585
188,0.411700901
189,0.272531814
190,0.431504556
191,0.448970755
192,0.47519758
193,0.609095896
194,0.5299425999999999
195,0.4578524679999999
196,0.4364400329999999
197,0.564209214
198,0.370462083
199,0.397270833
200,0.3706783389999999
201,0.3775835389999999
202,0.69970869
203,0.549005819
204,0.721778068
205,0.533438607
206,0.5347465579999999
207,0.453987591
208,0.663811024
209,0.4600996429999999
210,0.432207607
211,0.6731084359999999
212,0.5795744429999999
213,0.118112485
214,0.374243152
215,0.6803903259999999
216,0.6396657929999999
217,0.261437569
218,0.513954805
219,0.570799333
220,0.659146715
221,0.568505233
222,0.444957411
223,0.533438607
224,0.749343258
225,0.47940511
226,0.519217495
227,0.533759184
228,0.536546751
229,0.569746758
230,0.595418389
231,0.302344456
232,0.612122787
233,0.5102260279999999
234,0.533438607
235,0.2403961539999999
236,0.533438607
237,0.533438607
238,0.6195164329999999
239,0.280828016
240,0.540784811
241,0.368550412
242,0.45052389
243,0.430665574
244,0.402477679
245,0.447925077
246,0.597266465
247,0.533438607
248,0.533438607
249,0.252008311
250,0.4016461629999999
251,0.381794151
252,0.438677296
253,0.523497136
254,0.282445104
255,0.2948061839999999
256,0.533438607
257,0.356166406
258,0.4559283739999999
259,0.555955772
260,0.5498356879999999
261,0.355683184
262,0.5838120529999999
263,0.533438607
264,0.210112136
265,0.339375241
266,0.443127051
267,0.514368158
268,0.5585388920000001
269,0.559641971
270,0.40603783
271,0.280561481
272,0.559641971
273,0.4691078589999999
274,0.4817638279999999
275,0.61382215
276,0.470176484
277,0.432866814
278,0.621292312
279,0.689792393
280,0.42891354
281,0.568208805
282,0.559641971
283,0.57532177
284,0.565228661
285,0.511303159
286,0.425261991
287,0.6553055520000001
