,Role_Strategist
0,0.783867767
1,0.549317672
2,0.437835911
3,0.538655644
4,0.535045581
5,0.653127506
6,0.734125487
7,0.530902558
8,0.666251341
9,0.77025259
10,0.732954056
11,0.681393745
12,0.5763199529999999
13,0.769212428
14,0.633998329
15,0.595088927
16,0.536013859
17,0.648676923
18,0.567505341
19,0.459667384
20,0.78643294
21,0.448077231
22,0.572204085
23,0.61819091
24,0.507487513
25,0.500986505
26,0.639107076
27,0.741750701
28,0.515580952
29,0.6557931370000001
30,0.653492844
31,0.498268628
32,0.627063565
33,0.77025259
34,0.64073507
35,0.614943075
36,0.6246626439999999
37,0.630959523
38,0.4569134279999999
39,0.613406911
40,0.4935933629999999
41,0.555593172
42,0.5499786560000001
43,0.659809681
44,0.689613789
45,0.530611691
46,0.6632883470000001
47,0.5956807479999999
48,0.7417051440000001
49,0.421065412
50,0.643833808
51,0.553503042
52,0.7468714120000001
53,0.580625585
54,0.800687611
55,0.610559364
56,0.6333807920000001
57,0.7086389890000001
58,0.575105517
59,0.5175503779999999
60,0.484324765
61,0.518969826
62,0.670818148
63,0.79066854
64,0.5466983529999999
65,0.5058593020000001
66,0.57092167
67,0.619865954
68,0.6793127729999999
69,0.608487686
70,0.587972642
71,0.442152607
72,0.636109633
73,0.3953377489999999
74,0.3953377489999999
75,0.693808075
76,0.609648974
77,0.535690801
78,0.720825451
79,0.66455119
80,0.527005993
81,0.789786232
82,0.614862919
83,0.703576635
84,0.675731172
85,0.658152149
86,0.476622901
87,0.588532715
88,0.556956009
89,0.647909034
90,0.519927595
91,0.4249125589999999
92,0.703082311
93,0.587941038
94,0.616127157
95,0.7870535479999999
96,0.523852743
97,0.56698059
98,0.537372431
99,0.529462847
100,0.627791434
101,0.677485714
102,0.636285191
103,0.6468988960000001
104,0.634911117
105,0.664278559
106,0.585445919
107,0.61101099
108,0.631628002
109,0.66708828
110,0.72419097
111,0.6179477
112,0.535217255
113,0.499137536
114,0.64440686
115,0.624679483
116,0.678266844
117,0.7202849509999999
118,0.677372237
119,0.4865620979999999
120,0.459912909
121,0.537020457
122,0.537805952
123,0.594911843
124,0.701864095
125,0.6926981109999999
126,0.34742386
127,0.608825463
128,0.460369727
129,0.7215962020000001
130,0.71122082
131,0.629537941
132,0.65807867
133,0.6095439260000001
